id,first_name,last_name,email,shoe_type,shoe_material,shoe_color,price
41874,Kyle,Peck,KylePeck71@gmail.com,ballet flats,faux-leather,black,385
31349,Elizabeth,Velazquez,EVelazquez1971@gmail.com,boots,fabric,brown,388
43416,Keith,Saunders,KS4047@gmail.com,sandles,leather,navy,346
56054,Ryan,Sweeney,RyanSweeney14@outlook.com,sandles,fabric,brown,344
77402,Donna,Blankenship,DB3807@gmail.com,stilettos,fabric,brown,289
97148,Albert,Dillon,Albert.Dillon@gmail.com,wedges,fabric,brown,266
19998,Judith,Hewitt,JudithHewitt98@gmail.com,stilettos,leather,black,395
83290,Kayla,Hardin,Kayla.Hardin@gmail.com,stilettos,leather,white,241
77867,Steven,Blankenship,Steven.Blankenship@gmail.com,wedges,leather,navy,266
54885,Carol,Mclaughlin,CM3415@gmail.com,ballet flats,faux-leather,brown,440
35853,Jacob,Juarez,JJuarez1977@outlook.com,ballet flats,leather,red,331
35916,Michael,Christensen,Michael.Christensen@gmail.com,ballet flats,faux-leather,red,270
39587,Dennis,Vega,Dennis.Vega@gmail.com,ballet flats,faux-leather,brown,91
19234,Kathleen,Frost,KFrost1970@gmail.com,clogs,leather,brown,319
19733,Deborah,Lara,Deborah.Lara@gmail.com,ballet flats,leather,white,205
30871,Abigail,Dillard,ADillard1994@gmail.com,ballet flats,faux-leather,white,278
11967,Maria,Whitfield,Maria.Whitfield@gmail.com,wedges,fabric,white,180
42371,Gregory,Rose,GRose1983@gmail.com,boots,faux-leather,brown,319
35693,Margaret,Tyler,MTyler1974@gmail.com,ballet flats,fabric,brown,481
36694,Jessica,Cash,JCash1997@gmail.com,clogs,leather,red,397
84933,Jeremy,Holder,JeremyHolder35@gmail.com,wedges,leather,red,347
92283,Diana,Burgess,DBurgess1998@gmail.com,wedges,faux-leather,red,324
87240,William,Calderon,WilliamCalderon79@gmail.com,clogs,leather,red,439
49817,Katherine,Jensen,Katherine.Jensen@gmail.com,boots,fabric,black,171
18255,Tiffany,Bradshaw,TB6065@gmail.com,boots,faux-leather,navy,284
16026,William,Edwards,WE2364@gmail.com,sandles,leather,white,326
39560,Teresa,Valenzuela,TValenzuela1973@gmail.com,clogs,leather,brown,323
63898,Amber,Gross,Amber.Gross@gmail.com,stilettos,leather,black,451
31777,Kayla,Fox,Kayla.Fox@yahoo.com,sandles,fabric,navy,207
42232,Megan,Tyson,MTyson1979@gmail.com,sandles,faux-leather,white,456
69370,Vincent,Greer,Vincent.Greer@gmail.com,boots,leather,brown,308
62378,Willie,Sharp,WS5572@gmail.com,wedges,fabric,white,161
48007,Billy,Dalton,BDalton1987@gmail.com,stilettos,fabric,navy,167
27900,Alan,Golden,AG6950@gmail.com,boots,fabric,navy,289
85959,Julie,Rosa,JRosa1990@outlook.com,stilettos,leather,brown,481
94489,Philip,Carpenter,Philip.Carpenter@gmail.com,boots,faux-leather,red,247
24421,Megan,Rhodes,MR1115@gmail.com,boots,fabric,black,100
87527,James,Sheppard,James.Sheppard@gmail.com,boots,faux-leather,brown,211
87313,Wayne,Small,WSmall1987@gmail.com,stilettos,faux-leather,navy,487
18507,Donna,Clay,DC4155@hotmail.com,boots,fabric,navy,478
49063,Sara,Michael,SaraMichael67@gmail.com,sandles,fabric,brown,247
76091,Joan,Chan,JoanChan88@gmail.com,wedges,faux-leather,red,253
50912,Nicole,Morgan,NicoleMorgan51@hotmail.com,boots,faux-leather,black,114
26090,Jacob,Callahan,JacobCallahan54@gmail.com,stilettos,leather,black,286
65512,Brenda,Jacobson,Brenda.Jacobson@gmail.com,wedges,leather,navy,195
15125,Elizabeth,Day,Elizabeth.Day@gmail.com,wedges,fabric,navy,204
72787,Patrick,Keller,PatrickKeller42@outlook.com,stilettos,fabric,black,285
60684,Anna,Lancaster,Anna.Lancaster@hotmail.com,boots,leather,red,435
