id,first_name,last_name,email,month,utm_source
10043,Louis,Koch,LouisKoch43@gmail.com,3 - March,yahoo
10150,Bruce,Webb,BruceWebb44@outlook.com,3 - March,twitter
10155,Nicholas,Hoffman,Nicholas.Hoffman@gmail.com,2 - February,google
10178,William,Key,William.Key@outlook.com,3 - March,yahoo
10208,Karen,Bass,KB4971@gmail.com,2 - February,google
10260,Benjamin,Ochoa,Benjamin.Ochoa@outlook.com,1 - January,twitter
10271,Gerald,Aguilar,Gerald.Aguilar@gmail.com,3 - March,google
10278,Melissa,Lambert,Melissa.Lambert@gmail.com,2 - February,email
10320,Adam,Strickland,Adam.Strickland@gmail.com,3 - March,email
10389,Ethan,Payne,EthanPayne26@outlook.com,2 - February,facebook
10432,Charles,Herrera,CH7703@gmail.com,3 - March,yahoo
10511,Scott,Hines,SHines1999@hotmail.com,3 - March,yahoo
10572,Samantha,Townsend,Samantha.Townsend@gmail.com,2 - February,google
10672,Joyce,Ford,JF8697@gmail.com,3 - March,email
10683,Richard,Stanley,RStanley1971@gmail.com,3 - March,email
10717,Louis,Prince,LPrince1992@gmail.com,3 - March,yahoo
10763,Jesse,Booker,JBooker1977@gmail.com,1 - January,yahoo
10788,Donald,Mcpherson,DMcpherson1995@gmail.com,2 - February,yahoo
10809,Olivia,Osborne,Olivia.Osborne@gmail.com,1 - January,facebook
10845,Daniel,Haney,DHaney1985@gmail.com,3 - March,yahoo
10847,Marie,Preston,Marie.Preston@hotmail.com,1 - January,google
10877,Gerald,Mclean,GMclean1991@outlook.com,1 - January,facebook
10888,Marie,Schultz,MarieSchultz62@gmail.com,3 - March,yahoo
10950,Paul,Wells,Paul.Wells@gmail.com,3 - March,google
10978,Dennis,Caldwell,DCaldwell1971@gmail.com,1 - January,facebook
10981,Jeffrey,Joyce,JJoyce1975@outlook.com,1 - January,twitter
10997,Helen,Peters,HPeters1992@outlook.com,1 - January,yahoo
11096,Zachary,Warren,ZW1219@gmail.com,2 - February,google
11097,Elizabeth,Diaz,EDiaz1992@gmail.com,1 - January,facebook
11111,Sarah,Walls,SarahWalls97@gmail.com,1 - January,twitter
11117,Brenda,Stephenson,BStephenson1975@yahoo.com,2 - February,google
11131,Donald,Jacobson,DonaldJacobson85@gmail.com,1 - January,yahoo
11150,Megan,Santana,Megan.Santana@gmail.com,3 - March,twitter
11183,Brandon,Hammond,Brandon.Hammond@gmail.com,1 - January,google
11192,Teresa,Middleton,TeresaMiddleton64@gmail.com,1 - January,yahoo
11278,Melissa,Chandler,MChandler1978@gmail.com,3 - March,twitter
11296,Pamela,Meadows,PM8438@outlook.com,3 - March,facebook
11301,David,Wilkerson,David.Wilkerson@gmail.com,3 - March,yahoo
11314,Gregory,Salas,Gregory.Salas@gmail.com,2 - February,twitter
11355,Paul,Tillman,PaulTillman40@gmail.com,1 - January,twitter
11389,Denise,Wiley,DWiley1975@gmail.com,2 - February,yahoo
11493,Logan,Phillips,LoganPhillips14@gmail.com,2 - February,email
11509,Logan,Morgan,LoganMorgan37@gmail.com,2 - February,email
11513,Samantha,Baxter,SBaxter1973@gmail.com,1 - January,yahoo
11518,Diana,Stark,Diana.Stark@outlook.com,3 - March,email
11536,Sandra,Byers,SandraByers59@gmail.com,2 - February,yahoo
11566,Ronald,Porter,Ronald.Porter@gmail.com,2 - February,yahoo
11592,Lawrence,Fischer,Lawrence.Fischer@gmail.com,2 - February,google
11668,Frances,Stuart,FrancesStuart23@gmail.com,3 - March,facebook
11690,Grace,Huff,GHuff1978@gmail.com,1 - January,facebook
11691,Stephanie,Murphy,SM1907@gmail.com,2 - February,email
11742,Jean,Clay,JeanClay71@gmail.com,2 - February,facebook
11758,Charles,Middleton,CMiddleton1972@gmail.com,1 - January,yahoo
11782,Linda,Castillo,LCastillo1976@gmail.com,1 - January,yahoo
11786,Adam,Daugherty,ADaugherty1974@gmail.com,1 - January,facebook
11821,Carolyn,Rivers,CarolynRivers66@gmail.com,3 - March,twitter
11871,Ralph,Byers,Ralph.Byers@outlook.com,1 - January,yahoo
11878,Julie,Jackson,JJackson1976@gmail.com,3 - March,google
11882,Richard,White,RichardWhite78@gmail.com,3 - March,email
11923,Hannah,King,HK3188@yahoo.com,1 - January,yahoo
11936,Daniel,Mcclure,DanielMcclure29@outlook.com,3 - March,email
11947,Carl,Phillips,CarlPhillips57@gmail.com,3 - March,google
11961,Kathleen,Pitts,Kathleen.Pitts@gmail.com,1 - January,twitter
11973,Grace,Steele,GSteele1980@gmail.com,2 - February,google
11973,Mary,Fulton,MaryFulton9@gmail.com,3 - March,twitter
11982,Albert,Castro,Albert.Castro@gmail.com,2 - February,yahoo
12042,Tyler,Hewitt,THewitt1988@gmail.com,3 - March,twitter
12063,Jordan,Moon,JordanMoon65@gmail.com,1 - January,twitter
12144,Ethan,Salazar,EthanSalazar8@gmail.com,2 - February,google
12210,Marie,Joyce,MJ4365@gmail.com,2 - February,facebook
12261,Beverly,Alvarado,BAlvarado1976@yahoo.com,2 - February,facebook
12266,Paul,Gay,PG4861@hotmail.com,1 - January,facebook
12271,Megan,Monroe,MM5077@gmail.com,1 - January,yahoo
12285,Andrea,Page,Andrea.Page@gmail.com,2 - February,yahoo
12355,Jeffrey,Dickerson,Jeffrey.Dickerson@outlook.com,3 - March,yahoo
12388,Vincent,Butler,VincentButler91@gmail.com,1 - January,twitter
12431,Philip,Juarez,PJ7610@gmail.com,2 - February,yahoo
12445,Johnny,Lambert,JL7144@gmail.com,1 - January,yahoo
12460,Rebecca,Downs,RDowns1989@gmail.com,2 - February,yahoo
12476,Jose,Serrano,JoseSerrano57@gmail.com,2 - February,twitter
12486,William,Acosta,William.Acosta@gmail.com,2 - February,google
12522,Benjamin,Le,BL4653@gmail.com,1 - January,facebook
12532,Vincent,O'neill,VO'neill1992@outlook.com,3 - March,google
12533,Austin,Berg,Austin.Berg@hotmail.com,1 - January,facebook
12572,Jerry,Heath,Jerry.Heath@gmail.com,1 - January,facebook
12599,Nancy,Silva,NSilva1980@gmail.com,1 - January,facebook
12599,Austin,Franklin,AustinFranklin58@gmail.com,1 - January,twitter
12626,George,Douglas,George.Douglas@yahoo.com,1 - January,facebook
12636,Alice,Cruz,AliceCruz75@gmail.com,2 - February,facebook
12636,Kimberly,Craig,KCraig1980@gmail.com,2 - February,google
12651,Terry,Duke,Terry.Duke@gmail.com,1 - January,yahoo
12701,Anthony,Levine,AnthonyLevine34@gmail.com,1 - January,yahoo
12729,Dylan,Benjamin,DBenjamin1975@gmail.com,2 - February,twitter
12747,Arthur,Potts,AP6756@gmail.com,2 - February,google
12822,Ethan,Harmon,EHarmon1976@gmail.com,1 - January,facebook
12873,Christopher,Hooper,CH8438@gmail.com,3 - March,email
12892,Marilyn,Burton,MB7886@gmail.com,1 - January,facebook
12993,Karen,Sharp,KarenSharp35@aol.com,2 - February,twitter
13023,Dorothy,Rush,DR9723@gmail.com,2 - February,yahoo
13033,Lauren,Carey,LCarey1986@gmail.com,3 - March,email
13096,Donna,Kelley,DonnaKelley38@gmail.com,2 - February,yahoo
13098,Jose,Fowler,JFowler1971@gmail.com,3 - March,google
13113,Ralph,Ochoa,ROchoa1973@gmail.com,2 - February,facebook
13135,Joseph,O'connor,JosephO'connor33@outlook.com,3 - March,yahoo
13158,Betty,Boone,BB4566@gmail.com,1 - January,facebook
13171,David,Gregory,DG6771@gmail.com,1 - January,google
13187,Logan,Stanton,LStanton1999@gmail.com,3 - March,facebook
13260,Donna,Craig,DonnaCraig72@gmail.com,2 - February,google
13264,Barbara,Sandoval,Barbara.Sandoval@gmail.com,3 - March,yahoo
13307,Anthony,Day,Anthony.Day@gmail.com,1 - January,yahoo
13439,Alice,Foster,Alice.Foster@gmail.com,3 - March,yahoo
13448,Steven,Bryan,SB1764@gmail.com,2 - February,facebook
13485,Douglas,Rosales,DRosales1982@gmail.com,3 - March,facebook
13508,Catherine,Small,CSmall1989@gmail.com,3 - March,facebook
13577,Raymond,Jensen,RJensen1987@gmail.com,3 - March,yahoo
13587,Hannah,Love,HLove1996@gmail.com,3 - March,email
13591,Kayla,Burris,Kayla.Burris@hotmail.com,1 - January,email
13624,Maria,Herman,MariaHerman21@gmail.com,2 - February,google
13654,Dylan,Lucas,Dylan.Lucas@gmail.com,3 - March,facebook
13659,Bruce,Price,Bruce.Price@gmail.com,1 - January,yahoo
13673,Sharon,Mcintyre,SMcintyre1995@gmail.com,2 - February,google
13719,Jane,Merritt,JM9331@gmail.com,1 - January,twitter
13745,Amber,Rice,AmberRice61@gmail.com,1 - January,facebook
13754,Sara,Adkins,SA4589@gmail.com,1 - January,facebook
13858,Olivia,Cash,OC9943@gmail.com,1 - January,facebook
13866,Ashley,Franks,Ashley.Franks@hotmail.com,3 - March,email
13874,Jacob,Everett,Jacob.Everett@gmail.com,2 - February,google
13881,Laura,Kim,LauraKim30@gmail.com,2 - February,google
13900,Julia,Davenport,JDavenport1981@gmail.com,3 - March,google
13927,Laura,Massey,Laura.Massey@gmail.com,1 - January,facebook
13938,Ashley,Logan,ALogan1979@gmail.com,2 - February,twitter
13975,Janet,Strong,JanetStrong39@outlook.com,2 - February,facebook
